taxon	min	max
Lonicera_gynochlamydea	0.0	0.0
Lonicera_maackii	0.0	0.0
Sixalix_farinosa	0.0	0.0
Knautia_macedonica	0.0	0.0
Bassecoia_siamensis	0.0	0.0
Diabelia_tetrasepala	0.0	0.0
Sambucus_gaudichaudiana	0.0	0.0
Diervilla_sessilifolia	0.0	0.0
Centranthus_ruber	0.0	0.0
Pycnocomon_canus	0.0	0.0
Lonicera_quinquelocuaris	0.0	0.0
Patrina_triloba	0.0	0.0
Lomelosia_albocinta	0.0	0.0
Lonicera_orientalis	0.0	0.0
Symphoricarpos_occidentalis	0.0	0.0
Linnaea_borealis	0.0	0.0
Lonicera_periclymenum	0.0	0.0
Dipsacus_fullomum	0.0	0.0
Dipelta_floribunda	0.0	0.0
Lonicera_ferdinandi	0.0	0.0
Lonicera_fragrantissima	0.0	0.0
Lonicera_pileata	0.0	0.0
Viburnum_luzonicum	0.0	0.0
Nardostachys_jatamansi	0.0	0.0
Viburnum_lutescens	0.0	0.0
Heptacodium_miconioides	0.0	0.0
Valeriana_lobata	0.0	0.0
Triosteum_himalayanum	0.0	0.0
Lonicera_caerulea	0.0	0.0
Sambucus_cerulea	0.0	0.0
Cryptothladia_kokonorica	0.0	0.0
Viburnum_vernicosum	0.0	0.0
Triplostegia_grandulifera	0.0	0.0
Plectritis_congesta	0.0	0.0
Lonicera_tatarica	0.0	0.0
Zabelia_tyaihyoni	0.0	0.0
Weigela_florida	0.0	0.0
Valeriana_microphylla	0.0	0.0
Kolkwitzia_amabilis	0.0	0.0
Viburnum_coriaceum	0.0	0.0
Succisa_pratensis	0.0	0.0
Morina_longifolia	0.0	0.0
Paracryphia_alticola	0.0	0.0
Viburnum_jamesonii	0.0	0.0
Viburnum_rhytidophyllum	0.0	0.0
Abelia_uniflora	0.0	0.0
Lonicera_xylosteum	0.0	0.0
Pteracephalodes_hookeri	0.0	0.0
Lonicera_standishii	0.0	0.0
Leycesteria_formosa	0.0	0.0
Acanthocalyx_nepalensis_ssp_delevaya	0.0	0.0
Cephalaria_gigantea	0.0	0.0
Lonicera_floribunda	0.0	0.0
Zabelia_dielsii	0.0	0.0
Vesalea_coriacea	0.0	0.0
Viburnum_lantenoides	0.0	0.0
Fedia_cornucopiae	0.0	0.0
Viburnum_taiwanianum	0.0	0.0
Sambucus_pubens	0.0	0.0
Patrinia_hokiana	5.34	7.24
Diplodipelta_reniptera	33.97	34.17
Dipelta_bovayensis	48.0	49.0
Lonicera_krassilovii	4.5	15.3
Lonicera_protojaponica	5.34	7.24
Lonicera_Florissant	33.97	34.17
Heptacodium_spinosa	20.4	23.0
Diervilla_Germany	40	42
Viburnum_Paris	45.0	45.01
Viburnum_Iceland	15.0	15.01
Viburnum_PrincentonChert	47.0	47.01
Sambucus_Germany	43.96	44.04
Sambucus_Denmark	16	20.4






























